Question_Number,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Handbook_Reference
396,"Winter tires should be used when:","Temperature is below 7°C consistently","Snow is forecast","Roads are icy","All winter long",A,"Chapter 4 - Safe and Responsible Driving"
397,"What is the proper way to warm up your car in winter?","Let it idle for 10 minutes","Drive gently for first few minutes","Rev the engine","Warm up is not necessary",B,"Chapter 4 - Safe and Responsible Driving"
398,"Snow tires should be:","On front wheels only","On rear wheels only","On all four wheels","On drive wheels only",C,"Chapter 4 - Safe and Responsible Driving"
399,"When driving through a snowstorm:","Use cruise control","Increase following distance significantly","Drive at normal speed","Follow closely behind snowplows",B,"Chapter 4 - Safe and Responsible Driving"
400,"If you get stuck in snow:","Gun the engine","Rock the vehicle gently","Spin the wheels fast","Dig out immediately",B,"Chapter 4 - Safe and Responsible Driving"
401,"What should you carry in winter driving conditions?","Blanket and emergency supplies","Sand or salt","Booster cables","All of the above",D,"Chapter 4 - Safe and Responsible Driving"
402,"Carbon monoxide is dangerous because it:","Has a strong odor","Is visible","Is odorless and colorless","Only affects children",C,"Chapter 4 - Safe and Responsible Driving"
403,"Carbon monoxide poisoning symptoms include:","Alertness","Drowsiness and nausea","Improved vision","Increased energy",B,"Chapter 4 - Safe and Responsible Driving"
404,"To prevent carbon monoxide poisoning:","Keep windows closed","Ensure exhaust system is properly maintained","Use air conditioning only","Drive with heat off",B,"Chapter 4 - Safe and Responsible Driving"
405,"What is the most important factor in stopping distance?","Vehicle weight","Tire condition","Speed","Road surface",C,"Chapter 4 - Safe and Responsible Driving"
406,"Stopping distance includes:","Thinking distance only","Braking distance only","Thinking distance plus braking distance","Vehicle length",C,"Chapter 4 - Safe and Responsible Driving"
407,"Thinking distance is affected by:","Speed","Alertness and reaction time","Road conditions","Both A and B",D,"Chapter 4 - Safe and Responsible Driving"
408,"At 50 km/h, total stopping distance on dry pavement is approximately:","15 metres","27 metres","40 metres","55 metres",B,"Chapter 4 - Safe and Responsible Driving"
409,"Braking distance increases dramatically when:","Speed doubles","Roads are wet","Tires are worn","All of the above",D,"Chapter 4 - Safe and Responsible Driving"
410,"Anti-lock brakes (ABS) help prevent:","Stopping too quickly","Wheel lockup during hard braking","Brake fade","Brake wear",B,"Chapter 4 - Safe and Responsible Driving"
411,"With ABS brakes, you should:","Pump the brakes","Apply firm, steady pressure","Brake lightly","Turn off the system",B,"Chapter 4 - Safe and Responsible Driving"
412,"If your ABS warning light comes on:","Stop driving immediately","Have system checked soon","Brakes will not work","Nothing is wrong",B,"Chapter 4 - Safe and Responsible Driving"
413,"What is brake fade?","Brakes getting hot and losing effectiveness","Brake lights dimming","Brakes making noise","Brake pedal getting soft",A,"Chapter 4 - Safe and Responsible Driving"
414,"Brake fade is most likely when:","Driving in city","Going down long hills","Parking","Starting the engine",B,"Chapter 4 - Safe and Responsible Driving"
415,"To avoid brake fade on long downhills:","Use lower gear","Ride the brakes lightly","Use parking brake","Coast in neutral",A,"Chapter 4 - Safe and Responsible Driving"
416,"What should you do if your brakes get wet?","Test them by applying gently","Drive faster to dry them","Avoid using brakes","Apply parking brake",A,"Chapter 4 - Safe and Responsible Driving"
417,"Power steering failure means:","You cannot steer","Steering becomes very hard","Vehicle stops","Steering becomes loose",B,"Chapter 4 - Safe and Responsible Driving"
418,"If power steering fails:","Stop immediately","Use more force to steer","Call for help","Turn off engine",B,"Chapter 4 - Safe and Responsible Driving"
419,"What causes tire blowouts?","Under-inflation","Over-loading","Excessive speed","All of the above",D,"Chapter 4 - Safe and Responsible Driving"
420,"Signs of tire problems include:","Vibration","Pulling to one side","Unusual wear patterns","All of the above",D,"Chapter 4 - Safe and Responsible Driving"
421,"How often should you rotate your tires?","Every 3 months","Every 6 months","Every 8,000-10,000 km","Every year",C,"Chapter 3 - Getting Ready to Drive"
422,"Tire pressure should be checked:","When tires are hot","When tires are cold","After driving","Temperature doesn't matter",B,"Chapter 3 - Getting Ready to Drive"
423,"What can cause uneven tire wear?","Poor alignment","Incorrect pressure","Worn suspension","All of the above",D,"Chapter 3 - Getting Ready to Drive"
424,"The spare tire should be:","Checked regularly","Never used","Kept in garage","Ignored until needed",A,"Chapter 3 - Getting Ready to Drive"
425,"When changing a tire, you should:","Work in traffic","Use proper jack points","Change multiple tires","Rush the process",B,"Chapter 3 - Getting Ready to Drive"
426,"What should you check in your engine oil?","Level only","Color and consistency","Temperature","Smell",B,"Chapter 3 - Getting Ready to Drive"
427,"Dark, thick oil indicates:","Good condition","Needs changing","Too much oil","Normal wear",B,"Chapter 3 - Getting Ready to Drive"
428,"Engine coolant should be:","Checked when engine is hot","Checked when engine is cool","Never checked","Checked while running",B,"Chapter 3 - Getting Ready to Drive"
429,"Low coolant can cause:","Engine overheating","Poor fuel economy","Tire problems","Brake failure",A,"Chapter 3 - Getting Ready to Drive"
430,"Brake fluid should be:","Clear or light colored","Dark and thick","Any color","Foamy",A,"Chapter 3 - Getting Ready to Drive"
431,"If brake fluid is dark or contaminated:","Continue driving","Have brakes serviced","Add more fluid","Ignore it",B,"Chapter 3 - Getting Ready to Drive"
432,"Power steering fluid should be:","At minimum level","At maximum level","Between min and max marks","Overfilled",C,"Chapter 3 - Getting Ready to Drive"
433,"Transmission fluid should be checked:","Engine off","Engine running","After driving","Monthly",B,"Chapter 3 - Getting Ready to Drive"
434,"What does red fluid under your car likely indicate?","Transmission fluid leak","Engine oil leak","Coolant leak","Normal condensation",A,"Chapter 3 - Getting Ready to Drive"
435,"Green fluid under your car likely indicates:","Oil leak","Transmission leak","Coolant leak","Brake fluid leak",C,"Chapter 3 - Getting Ready to Drive"
436,"Your vehicle pulls to one side when braking. This indicates:","Normal wear","Brake problem","Tire problem","Steering problem",B,"Chapter 3 - Getting Ready to Drive"
437,"A grinding noise when braking indicates:","Normal operation","Brake pads worn out","Tires rubbing","Engine problem",B,"Chapter 3 - Getting Ready to Drive"
438,"Your steering wheel vibrates. This could indicate:","Tire imbalance","Brake problems","Suspension issues","All of the above",D,"Chapter 3 - Getting Ready to Drive"
439,"White smoke from exhaust indicates:","Normal operation","Coolant burning","Oil burning","Fuel problem",B,"Chapter 3 - Getting Ready to Drive"
440,"Blue smoke from exhaust indicates:","Normal operation","Coolant burning","Oil burning","Fuel mixture problem",C,"Chapter 3 - Getting Ready to Drive"
441,"Your engine overheats. You should:","Continue driving slowly","Stop and let it cool","Add cold water immediately","Rev the engine",B,"Chapter 3 - Getting Ready to Drive"
442,"If your oil pressure warning light comes on:","Continue driving","Stop engine immediately","Add oil while running","Check dipstick",B,"Chapter 3 - Getting Ready to Drive"
443,"If your battery warning light comes on:","Battery needs replacing","Charging system problem","Lights left on","Normal operation",B,"Chapter 3 - Getting Ready to Drive"
444,"Your fuel gauge shows empty but you think you have gas:","Keep driving","Stop and check","Call for help","Add fuel",B,"Chapter 3 - Getting Ready to Drive"
445,"Strange noises from your engine indicate:","Normal operation","Potential problems","Low fuel","Radio interference",B,"Chapter 3 - Getting Ready to Drive"
446,"You should have your vehicle serviced:","Only when it breaks","According to manufacturer's schedule","Once a year","Never",B,"Chapter 3 - Getting Ready to Drive"
447,"Regular maintenance helps:","Prevent breakdowns","Maintain safety","Preserve value","All of the above",D,"Chapter 3 - Getting Ready to Drive"
448,"Before a long trip, you should:","Fill up with gas","Check all fluids and tires","Plan your route","All of the above",D,"Chapter 3 - Getting Ready to Drive"
449,"What should be in your emergency kit?","First aid supplies","Flares or reflectors","Booster cables","All of the above",D,"Chapter 3 - Getting Ready to Drive"
450,"If you must stop on the highway:","Stop in traffic lane","Pull completely off roadway","Stop on left shoulder","Block traffic",B,"Chapter 7 - Dealing with Particular Situations"
451,"When stopped on roadside, you should:","Stay in vehicle","Get out on traffic side","Exit away from traffic","Stand behind vehicle",C,"Chapter 7 - Dealing with Particular Situations"
452,"If you must walk on highway:","Walk with traffic","Walk against traffic","Walk in center","Don't walk at all",B,"Chapter 7 - Dealing with Particular Situations"
453,"Use emergency flashers when:","Your vehicle is disabled","Driving in fog","Thanking other drivers","Driving slowly",A,"Chapter 7 - Dealing with Particular Situations"
454,"If involved in minor collision:","Leave immediately","Move vehicles from traffic if possible","Wait for police","Call insurance company first",B,"Chapter 7 - Dealing with Particular Situations"
455,"Information to exchange after collision includes:","Insurance information","Driver licence numbers","Vehicle information","All of the above",D,"Chapter 7 - Dealing with Particular Situations"
456,"You should call police for collision if:","Any damage occurs","Someone is injured or killed","Property damage exceeds $2000","Either B or C occurs",D,"Chapter 7 - Dealing with Particular Situations"
457,"If someone is injured in collision:","Move them immediately","Don't move them unless in danger","Give them water","Leave the scene",B,"Chapter 7 - Dealing with Particular Situations"
458,"After a collision, you should:","Remain calm","Help injured persons","Protect scene from further accidents","All of the above",D,"Chapter 7 - Dealing with Particular Situations"
459,"Hit and run is:","A minor offense","A serious criminal offense","Legal if no one is hurt","Not reported",B,"Chapter 7 - Dealing with Particular Situations"
460,"If you damage unattended property:","Drive away","Leave a note with contact information","It's not your fault","Wait one hour",B,"Chapter 7 - Dealing with Particular Situations"
461,"Aggressive driving includes:","Following too closely","Excessive speeding","Weaving through traffic","All of the above",D,"Chapter 8 - Sharing the Road"
462,"Road rage is:","Mechanical problems","Criminal behavior","Traffic congestion","Bad weather",B,"Chapter 8 - Sharing the Road"
463,"If confronted by road rage:","Engage the driver","Avoid eye contact and stay calm","Speed up","Block their path",B,"Chapter 8 - Sharing the Road"
464,"To avoid aggressive drivers:","Give them space","Don't take it personally","Stay calm","All of the above",D,"Chapter 8 - Sharing the Road"
465,"Distracted driving includes:","Using cell phone","Eating while driving","Personal grooming","All of the above",D,"Chapter 8 - Sharing the Road"
466,"Using handheld devices while driving is:","Always illegal","Legal at red lights","Legal on highways","Legal for GPS",A,"Chapter 8 - Sharing the Road"
467,"Hands-free devices are:","Always legal","Legal but not recommended","Illegal","Only for emergencies",B,"Chapter 8 - Sharing the Road"
468,"The safest option for phone calls while driving is:","Hands-free device","Pull over and stop","Text instead","Have passenger answer",B,"Chapter 8 - Sharing the Road"
469,"Fatigue while driving is:","Not dangerous","As dangerous as impairment","Only dangerous at night","Easily overcome",B,"Chapter 8 - Sharing the Road"
470,"Signs of driver fatigue include:","Difficulty focusing","Frequent yawning","Drifting from lane","All of the above",D,"Chapter 8 - Sharing the Road"
471,"To combat fatigue while driving:","Drink coffee","Open windows","Take a break","Turn up radio",C,"Chapter 8 - Sharing the Road"
472,"Microsleep while driving means:","Short naps are safe","Brief periods of unconsciousness","Blinking slowly","Daydreaming",B,"Chapter 8 - Sharing the Road"
473,"The best way to stay alert is:","Caffeine","Fresh air","Adequate sleep before driving","Loud music",C,"Chapter 8 - Sharing the Road"
474,"Impaired driving includes impairment by:","Alcohol only","Drugs only","Both alcohol and drugs","Legal medications",C,"Chapter 8 - Sharing the Road"
475,"Legal drugs can:","Never impair driving","Sometimes impair driving","Always impair driving","Only help driving",B,"Chapter 8 - Sharing the Road"
476,"If taking medication, you should:","Not drive","Check with doctor about driving","Drive extra carefully","Ignore warning labels",B,"Chapter 8 - Sharing the Road"
477,"The only way to sober up is:","Coffee","Cold shower","Time","Fresh air",C,"Chapter 8 - Sharing the Road"
478,"Blood alcohol content is affected by:","Body weight","Amount consumed","Time period","All of the above",D,"Chapter 8 - Sharing the Road"
479,"Even one drink can:","Improve driving","Have no effect","Impair judgment","Help reaction time",C,"Chapter 8 - Sharing the Road"
480,"The safest choice when drinking is:","Drive slowly","Don't drive at all","Drink coffee first","Wait one hour per drink",B,"Chapter 8 - Sharing the Road"
481,"Designated drivers should:","Drink less","Not drink at all","Drink only beer","Wait before driving",B,"Chapter 8 - Sharing the Road"
482,"Ride-sharing and taxis are:","Too expensive","Good alternatives to impaired driving","Not necessary","Only for emergencies",B,"Chapter 8 - Sharing the Road"
483,"If you see an impaired driver:","Follow them","Report to police","Try to stop them","Ignore it",B,"Chapter 8 - Sharing the Road"
484,"Vehicle emissions contribute to:","Air pollution","Climate change","Health problems","All of the above",D,"Chapter 8 - Sharing the Road"
485,"To reduce emissions:","Maintain your vehicle","Combine trips","Use alternative transportation","All of the above",D,"Chapter 8 - Sharing the Road"
486,"Idling your vehicle:","Warms it up faster","Wastes fuel and creates pollution","Is necessary in winter","Helps the engine",B,"Chapter 8 - Sharing the Road"
487,"Eco-friendly driving includes:","Gradual acceleration","Maintaining steady speeds","Proper tire pressure","All of the above",D,"Chapter 8 - Sharing the Road"
488,"Carpooling helps:","Reduce traffic","Save money","Reduce emissions","All of the above",D,"Chapter 8 - Sharing the Road"
489,"Public transit is:","Always inconvenient","An environmental choice","Only for poor people","Too slow",B,"Chapter 8 - Sharing the Road"
490,"Walking and cycling:","Are not transportation","Reduce environmental impact","Are unsafe","Are only for recreation",B,"Chapter 8 - Sharing the Road"
491,"Graduated licensing exists to:","Make licensing harder","Let new drivers gain experience safely","Increase government revenue","Discourage driving",B,"Chapter 2 - Your Driver's Licence"
492,"The vision test for licensing checks:","Color blindness only","Visual acuity and peripheral vision","Night vision only","Depth perception only",B,"Chapter 2 - Your Driver's Licence"
493,"If you fail the vision test:","You cannot get a licence","You may need corrective lenses","You must wait 6 months","You can try again immediately",B,"Chapter 2 - Your Driver's Licence"
494,"Medical conditions that must be reported include:","Diabetes requiring medication","Heart conditions","Seizure disorders","All of the above",D,"Chapter 2 - Your Driver's Licence"
495,"Your doctor may be required to:","Report certain conditions to MTO","Test your driving","Renew your licence","Provide medical clearance",A,"Chapter 2 - Your Driver's Licence"
496,"If you develop a medical condition affecting driving:","Keep driving","Report to MTO within 6 days","Wait until licence renewal","Ignore if minor",B,"Chapter 2 - Your Driver's Licence"
497,"Licence renewal notices are sent:","At expiry","30 days before expiry","90 days before expiry","Not sent automatically",C,"Chapter 2 - Your Driver's Licence"
498,"If you don't receive renewal notice:","You don't need to renew","It's still your responsibility to renew","Wait for second notice","Call MTO",B,"Chapter 2 - Your Driver's Licence"
499,"Driving with expired licence results in:","Warning only","Fines and penalties","Vehicle impoundment","Nothing if recent",B,"Chapter 2 - Your Driver's Licence"
500,"Your driving record affects:","Insurance rates","Employment opportunities","Legal proceedings","All of the above",D,"Chapter 2 - Your Driver's Licence"
